,Ped South,Ped North,Bike South,Bike North,Total
2014-01-01,23.01612903225808,34.919354838709666,-162.48387096774195,100.90322580645159,-3.6451612903225623
2014-01-02,-49.98387096774192,-90.08064516129033,94.51612903225805,-113.09677419354841,-158.64516129032256
2014-01-03,-15.983870967741922,-8.080645161290334,10.51612903225805,5.903225806451587,-7.645161290322562
2014-01-04,57.01612903225808,52.919354838709666,187.51612903225805,158.9032258064516,456.35483870967744
2014-01-05,24.01612903225808,32.919354838709666,30.51612903225805,22.903225806451587,110.35483870967744
2014-01-06,-46.98387096774192,-40.080645161290334,-64.48387096774195,-81.09677419354841,-232.64516129032256
2014-01-07,-80.98387096774192,-83.08064516129033,-123.48387096774195,-134.0967741935484,-421.64516129032256
2014-01-08,-66.98387096774192,-59.080645161290334,-108.48387096774195,-113.09677419354841,-347.64516129032256
2014-01-09,-66.98387096774192,-49.080645161290334,-90.48387096774195,-103.09677419354841,-309.64516129032256
2014-01-10,-9.983870967741922,-9.080645161290334,-140.48387096774195,-127.09677419354841,-286.64516129032256
2014-01-11,-45.98387096774192,-38.080645161290334,-211.48387096774195,-219.0967741935484,-514.6451612903226
2014-01-12,14.016129032258078,14.919354838709666,-115.48387096774195,-106.09677419354841,-192.64516129032256
2014-01-13,-33.98387096774192,-32.080645161290334,-14.48387096774195,-48.09677419354841,-128.64516129032256
2014-01-14,135.01612903225808,134.91935483870967,8.51612903225805,27.903225806451587,306.35483870967744
2014-01-15,-15.983870967741922,-22.080645161290334,72.51612903225805,76.90322580645159,111.35483870967744
2014-01-16,-33.98387096774192,-41.080645161290334,-4.48387096774195,-10.096774193548413,-89.64516129032256
2014-01-17,-43.98387096774192,-32.080645161290334,-43.48387096774195,-69.09677419354841,-188.64516129032256
2014-01-18,63.01612903225808,63.919354838709666,153.51612903225805,136.9032258064516,417.35483870967744
2014-01-19,23.01612903225808,27.919354838709666,-48.48387096774195,-66.09677419354841,-63.64516129032256
2014-01-20,30.01612903225808,23.919354838709666,87.51612903225805,79.90322580645159,221.35483870967744
2014-01-21,-47.98387096774192,-35.080645161290334,-12.48387096774195,1.9032258064515872,-93.64516129032256
2014-01-22,-27.98387096774192,-32.080645161290334,-18.48387096774195,-5.096774193548413,-83.64516129032256
2014-01-23,-11.983870967741922,-18.080645161290334,1.5161290322580498,-2.0967741935484128,-30.645161290322562
2014-01-24,-29.98387096774192,-10.080645161290334,52.51612903225805,14.903225806451587,27.354838709677438
2014-01-25,42.01612903225808,57.919354838709666,277.51612903225805,275.9032258064516,653.3548387096774
2014-01-26,93.01612903225808,75.91935483870967,279.51612903225805,266.9032258064516,715.3548387096774
2014-01-27,-53.98387096774192,-59.080645161290334,-27.48387096774195,-46.09677419354841,-186.64516129032256
2014-01-28,-43.98387096774192,-45.080645161290334,-52.48387096774195,-49.09677419354841,-190.64516129032256
2014-01-29,-78.98387096774192,-78.08064516129033,-126.48387096774195,-126.09677419354841,-409.64516129032256
2014-01-30,-55.98387096774192,-49.080645161290334,-70.48387096774195,-78.09677419354841,-253.64516129032256
2014-01-31,-48.98387096774192,-47.080645161290334,-80.48387096774195,-78.09677419354841,-254.64516129032256
2014-02-01,61.125,70.33928571428572,76.96428571428572,84.35714285714283,292.78571428571433
2014-02-02,102.125,68.33928571428572,40.96428571428572,28.357142857142833,239.78571428571433
2014-02-03,-48.875,-36.66071428571428,-48.03571428571428,-81.64285714285717,-215.21428571428567
2014-02-04,-48.875,-41.66071428571428,-81.03571428571428,-69.64285714285717,-241.21428571428567
2014-02-05,-55.875,-65.66071428571428,-154.03571428571428,-161.64285714285717,-437.21428571428567
2014-02-06,-84.875,-68.66071428571428,-184.03571428571428,-173.64285714285717,-511.21428571428567
2014-02-07,-65.875,-67.66071428571428,-170.03571428571428,-180.64285714285717,-484.21428571428567
2014-02-08,42.125,46.33928571428572,-47.03571428571428,-54.64285714285717,-13.214285714285666
2014-02-09,-39.875,-27.660714285714278,-290.0357142857143,-294.64285714285717,-652.2142857142857
2014-02-10,-81.875,-63.66071428571428,-178.03571428571428,-190.64285714285717,-514.2142857142857
2014-02-11,-25.875,-41.66071428571428,-87.03571428571428,-83.64285714285717,-238.21428571428567
2014-02-12,-21.875,-26.660714285714278,-58.03571428571428,-54.64285714285717,-161.21428571428567
2014-02-13,5.125,2.3392857142857224,22.964285714285722,18.357142857142833,48.785714285714334
2014-02-14,-61.875,-46.66071428571428,-119.03571428571428,-131.64285714285717,-359.21428571428567
2014-02-15,10.125,31.339285714285722,-73.03571428571428,-94.64285714285717,-126.21428571428567
2014-02-16,-13.875,-12.660714285714278,-130.03571428571428,-147.64285714285717,-304.21428571428567
2014-02-17,-10.875,-8.660714285714278,-151.03571428571428,-148.64285714285717,-319.21428571428567
2014-02-18,-82.875,-85.66071428571428,-153.03571428571428,-154.64285714285717,-476.21428571428567
2014-02-19,-6.875,-4.660714285714278,-51.03571428571428,-65.64285714285717,-128.21428571428567
2014-02-20,-35.875,-24.660714285714278,-60.03571428571428,-62.64285714285717,-183.21428571428567
2014-02-21,-70.875,-59.66071428571428,-75.03571428571428,-91.64285714285717,-297.21428571428567
2014-02-22,-6.875,2.3392857142857224,-147.03571428571428,-151.64285714285717,-303.21428571428567
2014-02-23,9.125,-5.660714285714278,-140.03571428571428,-142.64285714285717,-279.21428571428567
2014-02-24,-70.875,-69.66071428571428,-199.03571428571428,-196.64285714285717,-536.2142857142857
2014-02-25,-6.875,8.339285714285722,43.96428571428572,52.35714285714283,97.78571428571433
2014-02-26,1.125,-15.660714285714278,126.96428571428572,119.35714285714283,231.78571428571433
2014-02-27,-37.875,-18.660714285714278,15.964285714285722,25.357142857142833,-15.214285714285666
2014-02-28,28.125,22.339285714285722,125.96428571428572,137.35714285714283,313.78571428571433
2014-03-01,-8.983870967741922,-6.5806451612903345,-151.5806451612903,-97.27419354838707,-264.41935483870975
2014-03-02,-64.98387096774192,-56.580645161290334,-313.5806451612903,-329.2741935483871,-764.4193548387098
2014-03-03,-52.98387096774192,-53.580645161290334,-214.5806451612903,-215.27419354838707,-536.4193548387098
2014-03-04,-98.98387096774192,-95.58064516129033,-234.5806451612903,-235.27419354838707,-664.4193548387098
2014-03-05,-57.98387096774192,-44.580645161290334,-212.5806451612903,-204.27419354838707,-519.4193548387098
2014-03-06,-57.98387096774192,-58.580645161290334,-240.5806451612903,-232.27419354838707,-589.4193548387098
2014-03-07,99.01612903225808,63.419354838709666,-32.580645161290306,-51.274193548387075,78.58064516129025
2014-03-08,27.01612903225808,61.419354838709666,-172.5806451612903,-155.27419354838707,-239.41935483870975
2014-03-09,38.01612903225808,27.419354838709666,5.419354838709694,-4.274193548387075,66.58064516129025
2014-03-10,-25.98387096774192,-21.580645161290334,-206.5806451612903,-205.27419354838707,-459.41935483870975
2014-03-11,19.01612903225808,12.419354838709666,132.4193548387097,123.72580645161293,287.58064516129025
2014-03-12,35.01612903225808,24.419354838709666,200.4193548387097,201.72580645161293,461.58064516129025
2014-03-13,-19.98387096774192,-22.580645161290334,48.419354838709694,11.725806451612925,17.58064516129025
2014-03-14,54.01612903225808,78.41935483870967,-119.5806451612903,-113.27419354838707,-100.41935483870975
2014-03-15,11.016129032258078,21.419354838709666,28.419354838709694,56.725806451612925,117.58064516129025
2014-03-16,-61.98387096774192,-65.58064516129033,-336.5806451612903,-346.2741935483871,-810.4193548387098
2014-03-17,32.01612903225808,34.419354838709666,-9.580645161290306,-30.274193548387075,26.58064516129025
2014-03-18,-62.98387096774192,-58.580645161290334,-102.5806451612903,-92.27419354838707,-316.41935483870975
2014-03-19,-27.98387096774192,-19.580645161290334,-205.5806451612903,-211.27419354838707,-464.41935483870975
2014-03-20,-22.98387096774192,-11.580645161290334,-76.5806451612903,-103.27419354838707,-214.41935483870975
2014-03-21,21.01612903225808,12.419354838709666,47.419354838709694,30.725806451612925,111.58064516129025
2014-03-22,51.01612903225808,50.419354838709666,349.4193548387097,369.7258064516129,820.5806451612902
2014-03-23,61.01612903225808,49.419354838709666,523.4193548387098,537.7258064516129,1171.5806451612902
2014-03-24,17.01612903225808,-4.5806451612903345,267.4193548387097,288.7258064516129,568.5806451612902
2014-03-25,-103.98387096774192,-93.58064516129033,-228.5806451612903,-226.27419354838707,-652.4193548387098
2014-03-26,-46.98387096774192,-44.580645161290334,-151.5806451612903,-178.27419354838707,-421.41935483870975
2014-03-27,-45.98387096774192,-31.580645161290334,-88.5806451612903,-113.27419354838707,-279.41935483870975
2014-03-28,-94.98387096774192,-70.58064516129033,-297.5806451612903,-298.2741935483871,-761.4193548387098
2014-03-29,-10.983870967741922,16.419354838709666,-188.5806451612903,-250.27419354838707,-433.41935483870975
2014-03-30,112.01612903225808,103.41935483870967,224.4193548387097,178.72580645161293,618.5806451612902
2014-03-31,21.01612903225808,21.419354838709666,160.4193548387097,176.72580645161293,379.58064516129025
2014-04-01,27.48333333333332,15.466666666666669,-1.3999999999999773,-9.81666666666672,31.73333333333335
2014-04-02,-16.51666666666668,-4.533333333333331,-78.39999999999998,-70.81666666666672,-170.26666666666665
2014-04-03,-81.51666666666668,-84.53333333333333,-305.4,-346.8166666666667,-818.2666666666667
2014-04-04,-28.51666666666668,-7.533333333333331,-160.39999999999998,-197.81666666666672,-394.26666666666665
2014-04-05,287.48333333333335,316.4666666666667,-259.4,-230.81666666666672,113.73333333333335
2014-04-06,38.48333333333332,37.46666666666667,97.60000000000002,65.18333333333328,238.73333333333335
2014-04-07,27.48333333333332,20.46666666666667,315.6,321.1833333333333,684.7333333333333
2014-04-08,-46.51666666666668,-8.533333333333331,-226.39999999999998,-290.8166666666667,-572.2666666666667
2014-04-09,-29.51666666666668,-21.53333333333333,-14.399999999999977,-46.81666666666672,-112.26666666666665
2014-04-10,-1.51666666666668,8.466666666666669,23.600000000000023,4.18333333333328,34.73333333333335
2014-04-11,-25.51666666666668,-16.53333333333333,-80.39999999999998,-95.81666666666672,-218.26666666666665
